item,true label,prediction,prediction-ds,correct,correct-ds
http://www.wikidata.org/entity/Q15786,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q268530,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q216153,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q593,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q192185,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q265890,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q305718,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q337267,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q15,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q388170,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q11453,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q11436,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q583479,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q91717,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1453,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q9570,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q46392,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q487265,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q25314,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1107,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q27585,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q192150,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q618238,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q207241,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q17045537,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q42973,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3151019,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q45418,cultural agnostic,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q1792450,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q11629,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q7066,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q552300,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q31444638,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q890297,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q6658,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q807725,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q353936,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q66705,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q811389,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q812609,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q815611,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q11442,cultural agnostic,cultural agnostic,cultural agnostic,True,True
