entity,true label,prediction,correct
Q15786: 1. FC Nürnberg,cultural representative,cultural exclusive,False
Q268530: 77 Records,cultural exclusive,cultural exclusive,True
Q216153: A Bug's Life,cultural representative,cultural representative,True
Q593: A Gang Story,cultural exclusive,cultural exclusive,True
Q192185: Aaron Copland,cultural representative,cultural representative,True
Q265890: Aarwangen Castle,cultural exclusive,cultural exclusive,True
Q305718: abaya,cultural representative,cultural agnostic,False
Q337267: Academy of San Carlos,cultural exclusive,cultural exclusive,True
Q15: Africa,cultural representative,cultural representative,True
Q388170: African American literature,cultural representative,cultural representative,True
Q11453: agricultural irrigation,cultural agnostic,cultural agnostic,True
Q11436: aircraft,cultural agnostic,cultural agnostic,True
Q583479: Alcantara,cultural agnostic,cultural agnostic,True
Q91717: alcazaba,cultural representative,cultural exclusive,False
Q1453: Alexandra Stan,cultural representative,cultural representative,True
Q9570: Amitabh Bachchan,cultural representative,cultural representative,True
Q46392: Amjad Khan,cultural representative,cultural exclusive,False
Q487265: Anasyrma,cultural representative,cultural exclusive,False
Q25314: Angiosperms,cultural agnostic,cultural agnostic,True
Q1107: anime,cultural representative,cultural representative,True
Q27585: AOL,cultural exclusive,cultural representative,False
Q192150: apéritif,cultural representative,cultural agnostic,False
Q618238: Aperol,cultural representative,cultural representative,True
Q207241: applied arts,cultural agnostic,cultural agnostic,True
Q17045537: aragoto,cultural exclusive,cultural representative,False
Q42973: architect,cultural agnostic,cultural agnostic,True
Q3151019: architectural engineer,cultural agnostic,cultural agnostic,True
Q45418: argan oil,cultural agnostic,cultural agnostic,True
Q1792450: art historian,cultural agnostic,cultural agnostic,True
Q11629: art of painting,cultural agnostic,cultural agnostic,True
Q7066: atheism,cultural agnostic,cultural agnostic,True
"Q552300: Baa, Baa, Black Sheep",cultural exclusive,cultural exclusive,True
Q31444638: Baldegg railway station,cultural exclusive,cultural exclusive,True
Q890297: Baltic song festivals,cultural representative,cultural exclusive,False
Q6658: Bamboula,cultural representative,cultural exclusive,False
Q807725: Barbarastollen underground archive,cultural exclusive,cultural exclusive,True
Q353936: Baselland Transport,cultural exclusive,cultural exclusive,True
Q66705: Bassecourt,cultural exclusive,cultural exclusive,True
Q811389: Bauhaus Archive,cultural representative,cultural exclusive,False
Q812609: Bayrisch Kraut,cultural representative,cultural exclusive,False
Q815611: Biblioteca Ambrosiana,cultural exclusive,cultural exclusive,True
Q11442: bicycle,cultural agnostic,cultural agnostic,True
Q5173: Bilateria,cultural agnostic,cultural agnostic,True
Q489: Bill Maher,cultural representative,cultural representative,True
Q49759: bloc party,cultural agnostic,cultural agnostic,True
Q3641631: boho-chic,cultural representative,cultural agnostic,False
Q157906: Boomerang,cultural exclusive,cultural representative,False
Q549322: bullfighter,cultural representative,cultural agnostic,False
Q1132695: calico,cultural representative,cultural representative,True
Q65997: Caliph,cultural representative,cultural representative,True
Q5119: capital city,cultural agnostic,cultural agnostic,True
Q584540: captain,cultural agnostic,cultural representative,False
Q180449: carbatina,cultural representative,cultural representative,True
Q410: Carl Sagan,cultural representative,cultural representative,True
Q18240: carnivorous plant,cultural agnostic,cultural agnostic,True
Q568286: cento,cultural exclusive,cultural exclusive,True
Q154996: Charlottenburg Palace,cultural representative,cultural exclusive,False
Q251672: Château Borély,cultural exclusive,cultural exclusive,True
Q45982: Chittagong Kings,cultural exclusive,cultural exclusive,True
Q1604035: Choc Stars,cultural exclusive,cultural exclusive,True
Q222344: cinematographer,cultural agnostic,cultural agnostic,True
Q118865: clarinetist,cultural agnostic,cultural agnostic,True
Q265418: Classic Produktion Osnabrück,cultural exclusive,cultural agnostic,False
Q11955: Club Deportivo Guadalajara,cultural exclusive,cultural exclusive,True
Q280015: Colorado Gold Kings,cultural exclusive,cultural exclusive,True
Q245068: comedian,cultural agnostic,cultural agnostic,True
