token,label
C',0
era,0
una,0
volta,0
…,1
–,0
Un,0
re,0
!,0
–,0
diranno,0
subito,0
i,0
miei,0
piccoli,0
lettori,0
.,1
–,0
No,0
",",0
ragazzi,0
",",0
avete,0
sbagliato,0
.,1
C',0
era,0
una,0
volta,0
un,0
pezzo,0
di,0
legno,0
.,1
Non,0
era,0
un,0
legno,0
di,0
lusso,0
",",0
ma,0
un,0
semplice,0
pezzo,0
da,0
catasta,0
",",0
di,0
quelli,0
che,0
d',0
inverno,0
si,0
mettono,0
nelle,0
stufe,0
e,0
nei,0
caminetti,0
per,0
accendere,0
il,0
fuoco,0
e,0
per,0
riscaldare,0
le,0
stanze,0
.,1
Non,0
so,0
come,0
andasse,0
",",0
ma,0
il,0
fatto,0
gli,0
è,0
che,0
un,0
bel,0
giorno,0
questo,0
pezzo,0
di,0
legno,0
capitò,0
nella,0
bottega,0
di,0
un,0
vecchio,0
falegname,0
",",0
il,0
quale,0
aveva,0
nome,0
mastr'Antonio,0
",",0
se,0
non,0
che,0
tutti,0
lo,0
chiamavano,0
maestro,0
Ciliegia,0
",",0
per,0
via,0
della,0
punta,0
del,0
suo,0
naso,0
",",0
che,0
era,0
sempre,0
lustra,0
e,0
paonazza,0
",",0
come,0
una,0
Ciliegia,0
matura,0
.,1
Appena,0
maestro,0
Ciliegia,0
ebbe,0
visto,0
quel,0
pezzo,0
di,0
legno,0
",",0
si,0
rallegrò,0
tutto,0
;,0
e,0
dandosi,0
una,0
fregatina,0
di,0
mani,0
per,0
la,0
contentezza,0
",",0
borbottò,0
a,0
mezza,0
voce,0
:,0
–,0
Questo,0
legno,0
è,0
capitato,0
a,0
tempo,0
:,0
voglio,0
servirmene,0
per,0
fare,0
una,0
gamba,0
di,0
tavolino,0
.,1
Detto,0
fatto,0
",",0
prese,0
subito,0
l',0
ascia,0
arrotata,0
per,0
cominciare,0
a,0
levargli,0
la,0
scorza,0
e,0
a,0
digrossarlo,0
",",0
ma,0
quando,0
fu,0
lì,0
per,0
lasciare,0
andare,0
la,0
prima,0
asciata,0
",",0
rimase,0
col,0
braccio,0
sospeso,0
in,0
aria,0
",",0
perchè,0
sentì,0
una,0
vocina,0
sottile,0
sottile,0
",",0
che,0
disse,0
raccomandandosi,0
:,0
–,0
Non,0
mi,0
picchiar,0
tanto,0
forte,0
!,1
Figuratevi,0
come,0
rimase,0
quel,0
buon,0
vecchio,0
di,0
maestro,0
Ciliegia,0
!,1
Girò,0
gli,0
occhi,0
smarriti,0
intorno,0
alla,0
stanza,0
per,0
vedere,0
di,0
dove,0
mai,0
poteva,0
essere,0
uscita,0
quella,0
vocina,0
",",0
e,0
non,0
vide,0
nessuno,0
!,1
Guardò,0
sotto,0
il,0
banco,0
",",0
e,0
nessuno,0
;,0
guardò,0
dentro,0
un,0
armadio,0
che,0
stava,0
sempre,0
chiuso,0
",",0
e,0
nessuno,0
;,0
guardò,0
nel,0
corbello,0
dei,0
trucioli,0
e,0
della,0
segatura,0
",",0
e,0
nessuno,0
;,0
aprì,0
l',0
uscio,0
di,0
bottega,0
per,0
dare,0
un'occhiata,0
anche,0
sulla,0
strada,0
",",0
e,0
nessuno,0
.,1
O,0
dunque,0
?,0
…,1
–,0
Ho,0
capito,0
;,0
–,0
disse,0
allora,0
ridendo,0
e,0
grattandosi,0
la,0
parrucca,0
–,0
si,0
vede,0
che,0
quella,0
vocina,0
me,0
la,0
sono,0
figurata,0
io,0
.,1
Rimettiamoci,0
a,0
lavorare,0
.,1
E,0
ripresa,0
l',0
ascia,0
in,0
mano,0
",",0
tirò,0
giù,0
un,0
solennissimo,0
colpo,0
sul,0
pezzo,0
di,0
legno,0
.,1
–,0
Ohi,0
!,0
tu,0
m'hai,0
fatto,0
male,0
!,0
–,0
gridò,0
rammaricandosi,0
la,0
solita,0
vocina,0
.,1
Questa,0
volta,0
maestro,0
Ciliegia,0
restò,0
di,0
stucco,0
",",0
cogli,0
occhi,0
fuori,0
del,0
capo,0
per,0
la,0
paura,0
",",0
colla,0
bocca,0
spalancata,0
e,0
colla,0
lingua,0
giù,0
ciondoloni,0
fino,0
al,0
mento,0
",",0
come,0
un,0
mascherone,0
da,0
fontana,0
.,1
Appena,0
riebbe,0
l',0
uso,0
della,0
parola,0
",",0
cominciò,0
a,0
dire,0
tremando,0
e,0
balbettando,0
dallo,0
spavento,0
:,0
–,0
Ma,0
di,0
dove,0
sarà,0
uscita,0
questa,0
vocina,0
che,0
ha,0
detto,0
ohi,0
?,0
…,1
Eppure,0
qui,0
non,0
c',0
è,0
anima,0
viva,0
.,1
Che,0
sia,0
per,0
caso,0
questo,0
pezzo,0
di,0
legno,0
che,0
abbia,0
imparato,0
a,0
piangere,0
e,0
a,0
lamentarsi,0
come,0
un,0
bambino,0
?,1
Io,0
non,0
lo,0
posso,0
credere,0
.,1
Questo,0
legno,0
eccolo,0
qui,0
;,0
è,0
un,0
pezzo,0
di,0
legno,0
da,0
caminetto,0
",",0
come,0
tutti,0
gli,0
